,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo
234,2.5738905668258667,3.6070424616336823,2.048004652514602,3.1023275129722827
235,2.407443195581436,3.1099731028079987,2.2694744738665493,3.257318113789414
236,2.6027418076992035,3.133158653974533,2.1379314408157812,3.2723468867215244
237,2.0396736562252045,3.2427960336208344,2.0718566829508003,3.17634840445085
238,2.153912290930748,3.138826221227646,2.085844787684354,3.3506901914423164
239,2.396313577890396,3.201864242553711,2.0014803590196553,3.2116379232117622
240,1.974159836769104,3.761273205280304,2.234332572330128,3.0394880988381128
241,2.044514447450638,3.2519571781158447,2.3098202654809663,3.290911074840661
242,2.074577122926712,3.334447830915451,2.2019871870676675,3.134725039655512
243,2.9602313339710236,3.344452887773514,2.203938946579442,3.161207964926055
244,2.9128485321998596,3.586723119020462,2.0489722165194424,2.995690042322332
245,2.4267980456352234,3.523020178079605,1.915655862201344,3.010482022256562
246,2.7339751720428467,3.2383284270763397,1.9400674971667202,3.045401775475704
247,3.2266368567943573,3.137936592102051,2.5648666873122705,3.240529320456765
248,3.206214815378189,3.3587112426757812,1.978763713981166,3.1168814861413203
249,2.008956640958786,3.0508639216423035,2.201847600214409,3.231021938901959
250,1.9684909284114838,3.790377825498581,2.305181051745559,3.2441847757859663
251,2.3994812965393066,3.0768137872219086,1.9915028882749153,3.3720931645595664
252,3.230449080467224,3.2165620028972626,2.0368807388074472,3.1769193158005224
253,2.423882305622101,3.0998598635196686,2.086581165140325,3.025873465971513
254,2.24422487616539,3.111150413751602,2.219451474420952,3.3798879782358804
255,2.4469079971313477,3.8364786505699158,1.9533622806722468,2.9698666659268467
256,2.8280219435691833,3.1813078820705414,2.0142958706075493,3.3472681045532227
257,2.94411101937294,3.163155347108841,1.9510807846531724,3.0580336903080796
258,2.140611544251442,3.723004698753357,2.1256939895225293,3.4406716679081772
259,2.2927572280168533,3.2336577475070953,2.063805280309735,3.1523128567319927
260,2.2729100435972214,3.3832965195178986,2.2436860113432915,3.097604751586914
261,2.672878712415695,3.8102450370788574,2.186580860253536,2.9475441051251963
262,2.446064129471779,3.4809443652629852,2.094402049527024,3.2684547756657456
263,2.0683433413505554,3.2184323370456696,2.288896538994529,3.1060208262819233
264,3.1424011886119843,3.3618937134742737,2.137820081277327,3.2327782529773135
265,2.853141635656357,3.3397420048713684,1.8961088007146663,3.033536990483602
266,2.434424728155136,3.318756878376007,2.1549245516459146,3.1529418121684682
267,2.8997773826122284,3.1251613199710846,2.1924032586993594,3.1788151914423164
268,2.2859045565128326,3.5861907601356506,2.130288109634862,3.0943598169268984
269,2.3538700491189957,3.294021964073181,2.2117201523347334,3.04011498075543
270,1.9568120241165161,3.1991822719573975,2.1718176278201016,3.1982301365245474
271,2.1552769541740417,3.1376341581344604,2.1231160308375503,3.2781116745688696
272,2.6041305661201477,3.2616005539894104,1.9622816172513096,2.988911975513805
273,2.3680111467838287,3.6064773499965668,1.9728813279758801,3.0538441412376636
274,2.499482572078705,3.447447121143341,1.9026713118408665,2.9913072875051787
275,3.1184732615947723,3.1658025979995728,2.444217981714191,3.0374897754553594
